T1,T2,S1,S2,Draw,ELO1,ELO2,Prob1,Prob2
Burkina Faso,Kazakhstan,0,0,1,1461,1395,0.5938553852,0.4061446148
North. Ireland,Qatar,1,1,1,#N/A,1513,#N/A,#N/A
Lithuania,Hungary,0,4,0,1417,1695,0.1679401595,0.8320598405
United States,Netherlands,4,3,0,1747,1903,0.2894599876,0.7105400124
Scotland,Qatar,1,0,0,1686,1513,0.7302454133,0.2697545867
Equatorial Guinea,Andorra,1,0,0,1334,939,0.9066840317,0.0933159683
England,Rep. of Ireland,0,0,1,1889,#N/A,#N/A,#N/A
Azerbaijan,Serbia,1,4,0,1368,1710,0.1225274857,0.8774725143
Belarus,Russia,2,4,0,1559,1670,0.3454800056,0.6545199944
Gibraltar,Croatia,0,4,0,1079,1826,0.0133858921,0.9866141079
Belgium,France,4,3,0,1924,1953,0.4583622973,0.5416377027
Bulgaria,Turkey,0,4,0,1561,1790,0.2111129318,0.7888870682
Denmark,Montenegro,2,1,0,1722,1527,0.7544540419,0.2455459581
Sweden,Norway,0,0,1,1710,1610,0.6400649998,0.3599350002
Malta,Lithuania,2,0,0,1205,1417,0.2278713265,0.7721286735
Georgia,Ukraine,1,2,0,1461,1714,0.1890208419,0.8109791581
Finland,Estonia,0,2,0,1550,1444,0.6479830133,0.3520169867
Luxembourg,Moldova,0,0,1,1213,1326,0.3428813135,0.6571186865
Switzerland,Liechtenstein,3,0,0,1776,1166,0.9710115888,0.0289884112
United States,Germany,2,1,0,1747,2033,0.1616030926,0.8383969074
Spain,Costa Rica,2,1,0,1918,1769,0.7021826021,0.2978173979
Turkey,Kazakhstan,1,0,0,1790,1395,0.9066840317,0.0933159683
Netherlands,Latvia,2,0,0,1903,1456,0.9291127058,0.0708872942
Iceland,Czech Republic,2,1,0,1728,#N/A,#N/A,#N/A
Andorra,Cyprus,1,3,0,939,1393,0.0682788143,0.9317211857
Wales,Belgium,1,0,0,1725,1924,0.2413053799,0.7586946201
Bulgaria,Malta,1,0,0,1561,1205,0.8858769426,0.1141230574
Bosnia & Herzegovina,Israel,3,1,0,#N/A,1546,#N/A,#N/A
Croatia,Italy,1,1,1,1826,1919,0.3692697114,0.6307302886
Norway,Azerbaijan,0,0,1,1610,1368,0.8010809398,0.1989190602
Germany,Gibraltar,7,0,0,2033,1079,0.9958959375,0.0041040625
Georgia,Poland,0,4,0,1461,1794,0.128207422,0.871792578
Scotland,Rep. of Ireland,1,1,1,1686,#N/A,#N/A,#N/A
Finland,Hungary,0,1,0,1550,1695,0.3026549214,0.6973450786
Portugal,Armenia,3,2,0,1874,1499,0.8964765079,0.1035234921
France,Albania,0,1,0,1953,1602,0.8829346041,0.1170653959
Faroe Islands,Greece,2,1,0,1203,1592,0.0962795616,0.9037204384
Romania,North. Ireland,0,0,1,1689,#N/A,#N/A,#N/A
Serbia,Denmark,0,2,0,1710,1722,0.4827374756,0.5172625244
Slovakia,Macedonia,2,1,0,1735,1407,0.868541,0.131459
Ukraine,Luxembourg,3,0,0,1714,1213,0.9470491982,0.0529508018
San Marino,Estonia,0,2,0,861,1444,0.0336986562,0.9663013438
Slovenia,England,2,3,0,1588,1889,0.1502431482,0.8497568518
Moldova,Liechtenstein,1,1,1,1326,1166,0.715252751,0.284747249
Russia,Austria,0,1,0,1670,1688,0.4741190691,0.5258809309
Belarus,Spain,0,1,0,1559,1918,0.1123887401,0.8876112599
Lithuania,Switzerland,1,2,0,1417,1776,0.1123887401,0.8876112599
Montenegro,Sweden,1,3,0,1527,1710,0.258566477,0.741433523
Italy,Portugal,0,1,0,1919,1874,0.5644004902,0.4355995098
Greece,Poland,0,0,1,1592,1794,0.2381578901,0.7618421099
Kazakhstan,Czech Republic,1,2,0,1395,#N/A,#N/A,#N/A
Croatia,Azerbaijan,0,0,1,1826,1368,0.9331715354,0.0668284646
Netherlands,Iceland,0,1,0,1903,1728,0.7325072898,0.2674927102
Latvia,Turkey,1,1,1,1456,1790,0.1275653964,0.8724346036
Bosnia & Herzegovina,Belgium,1,3,0,#N/A,1924,#N/A,#N/A
Wales,Cyprus,1,0,0,1725,1393,0.8711477984,0.1288522016
Israel,Andorra,4,0,0,1546,939,0.9705215145,0.0294784855
Bulgaria,Norway,0,1,0,1561,1610,0.4299471764,0.5700528236
Italy,Malta,1,0,0,1919,1205,0.9838589113,0.0161410887
Poland,Germany,1,3,0,1794,2033,0.2016852558,0.7983147442
Scotland,Georgia,0,1,0,1686,1461,0.785026737,0.214973263
Rep. of Ireland,Gibraltar,4,0,0,#N/A,1079,#N/A,#N/A
North. Ireland,Faroe Islands,3,1,0,#N/A,1203,#N/A,#N/A
Finland,Greece,1,0,0,1550,1592,0.4398498548,0.5601501452
Romania,Hungary,0,0,1,1689,1695,0.4913661642,0.5086338358
Albania,Denmark,0,0,1,1602,1722,0.3338605754,0.6661394246
Serbia,Armenia,2,0,0,1710,1499,0.7711142607,0.2288857393
France,Portugal,1,0,0,1953,1874,0.6117705008,0.3882294992
Luxembourg,Macedonia,1,0,0,1213,1407,0.2466139222,0.7533860778
